Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Allium schubertii,11.9917,9,15.1431,28.45,6.44167,681.5,81.5,False,77,,98,
Allium senescens,11.9917,6,3.5375,23.75,-7.78333,656.5,82.0,False,67,,1822,
Allium shelkovnikovii,11.9917,11,10.4958,27.35,1.60834,546.5,66.0,False,3,,7,
Allium siculum,11.9917,9,9.99584,23.0,3.30833,827.0,165.0,False,30,,642,
Allium sphaerocephalon,11.9917,11,10.5972,25.075,3.21667,806.0,149.75,False,124,,6500,
Allium splendens,11.9917,6,1.27778,23.25,-10.9625,608.0,83.5,False,19,,1225,
Allium stellatum,11.9917,11,7.58958,28.1,-4.37083,787.5,108.25,False,33,,1382,
Allium togashii,11.9917,11,10.9,26.775,2.20833,925.5,139.75,False,5,,5,
Allium tolmiei,11.9917,9,8.67361,27.775,1.39167,646.5,102.25,False,7,,809,
Allium tricoccum,11.9917,9,8.67917,27.95,-2.19167,973.0,184.5,False,45,,7987,
Allium tuberosum,11.9917,11,11.1125,27.9,1.84166,979.5,154.5,False,150,,2098,
Allium ursinum,11.9917,6,9.43611,22.75,2.325,772.5,146.0,False,114,,6448,
Alloberberis nevinii,11.9917,2,16.5514,31.25,10.1,561.0,58.5,False,1,,251,
Alniphyllum fortunei,11.9917,9,17.5956,30.687,8.16866,1418.25,142.5,True,,,281,571
Alnus firma,11.9917,11,11.1287,25.8213,2.19778,1344.0,159.667,True,,,693,427
Alnus incana,11.9917,6,6.74478,21.8695,-1.30289,726.5,136.0,True,,,34943,84958
Alnus lanata,11.9917,11,11.7411,23.7167,4.91389,847.833,53.6667,True,,,4,3
Alnus pendula,11.9917,11,10.7015,25.4673,1.61767,1383.83,218.333,True,,,523,462
