Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Phlomis purpurea,9.98333,6,15.1458,28.95,8.425,580.0,71.0,False,52,,8759,
Phyllostachys sulphurea,9.98333,6,15.3055,28.5,5.6875,1131.5,121.75,False,9,,58,
Physaria arctica,9.98333,6,4.23333,15.05,-0.883335,411.5,80.0,False,4,,3,
Piloselloides hirsuta,9.98333,6,15.5799,24.8,9.57083,905.75,76.75,False,2,,871,
Pittosporum truncatum,9.98333,6,14.8917,28.775,5.775,1005.5,102.0,False,21,,158,
Primula concholoba,9.98333,6,3.73056,17.5,-3.10833,859.5,100.75,False,6,,2,
Primula grandis,9.98333,6,4.37222,19.475,-2.50417,1062.5,202.0,False,2,,9,
Pulsatilla campanella,9.98333,6,0.930557,20.95,-8.72917,583.25,79.75,False,23,,1,
Rhododendron bachii,9.98333,6,16.2458,29.75,7.35833,1194.0,128.5,False,1,,134,
Rhododendron diversipilosum,9.98333,6,5.50417,22.0,-4.61667,900.0,146.0,False,7,,31,
Rhododendron levinei,9.98333,6,17.5472,29.25,8.525,1400.0,129.5,False,1,,44,
Ribes triste,9.98333,6,2.87083,23.15,-9.10833,664.0,84.5,False,22,,3329,
Ribes viburnifolium,9.98333,6,15.9424,27.225,11.4125,453.75,6.5,False,31,,391,
Romneya trichocalyx,9.98333,6,16.0049,28.3,11.2542,479.0,9.0,False,16,,779,
Ruschia pulvinaris,9.98333,6,14.7785,30.3,5.96667,707.0,100.25,False,15,,14,
Salix arbuscula,9.98333,6,3.23889,18.9,-3.725,753.5,131.0,False,29,,2729,
Salix jejuna,9.98333,6,2.99375,21.35,-7.3375,912.75,171.5,False,7,,16,
Salvia judaica,9.98333,6,16.9528,28.6,8.82917,601.75,55.5,False,29,,382,
Schisandra propinqua,9.98333,6,15.4056,27.55,6.55833,1152.5,118.0,False,14,,213,
Scoliopus bigelovii,9.98333,6,12.8306,23.8,7.44167,933.5,70.0,False,1,,3348,
Shibataea chinensis,9.98333,6,15.9695,29.975,6.72083,1269.75,145.0,False,14,,5,
Stachys turcomanica,9.98333,6,14.1938,32.575,4.17083,430.25,61.25,False,3,,13,
Stachyurus retusus,9.98333,6,14.3451,26.275,6.05,1031.75,76.75,False,7,,12,
Teucrium cossonii,9.98333,6,14.5167,29.05,8.28333,602.0,53.5,False,22,,56,
Tigridia orthantha,9.98333,6,11.8743,21.9,7.79583,1045.25,111.75,False,3,,144,
Triteleia bridgesii,9.98333,6,12.857,27.325,8.2875,1104.5,27.25,False,7,,478,
Vaccinium deliciosum,9.98333,6,5.37014,20.95,-1.0125,1302.0,160.25,False,7,,386,
Vitis californica,9.98333,6,14.9583,30.2,8.94167,636.0,10.0,False,19,,141,
Vitis rotundifolia,9.98333,6,17.216,31.675,7.50417,1205.5,221.0,False,22,,989,
Wisteria brachybotrys,9.98333,6,13.218,27.4,3.79167,1491.5,221.5,False,7,,432,
Woodsia ilvensis,9.98333,6,5.73056,21.45,-3.56667,744.5,122.5,False,28,,8782,
Yucca constricta,9.98333,6,17.9243,32.95,8.3,811.75,134.5,False,25,,1337,
Yucca linearifolia,9.98333,6,17.9111,31.35,10.2667,595.5,56.0,False,21,,9,
Yucca rupicola,9.98333,6,17.4486,31.25,7.75833,833.0,148.0,False,3,,3581,
Yucca schottii,9.98333,6,15.0792,31.35,7.19167,671.5,85.5,False,3,,331,
Zanthoxylum dissitum,9.98333,6,16.4861,30.575,7.13333,1226.0,85.25,False,9,,269,
Acer fabri,9.98333,6,16.9428,30.865,7.46092,1325.75,140.875,True,31,2,181,428
Acer sinense,9.98333,6,15.9097,30.05,6.225,1266.0,113.0,True,2,,65,
Adinandra glischroloma,9.98333,6,18.9209,30.7396,9.82353,1563.25,132.25,True,9,2,56,72
Aesculus chinensis,9.98333,6,14.5851,29.7615,4.59725,1121.62,87.25,True,39,14,81,121
Alniphyllum fortunei,9.98333,6,17.5956,30.687,8.16866,1418.25,142.5,True,24,3,281,571
Asimina parviflora,9.98333,6,17.3617,32.3747,7.78822,1306.0,264.333,True,16,,364,127
Aucuba chinensis,9.98333,6,17.7575,29.788,9.57958,1579.5,113.875,True,24,5,168,512
