AccNoFull,ItemAccNoFull,GenusSpecies,Genus,ItemLocationCode,LocationName,ManagedBy,LocationCoordY,LocationCoordX,LifeForm,ProvenanceCode,LocationCoordLatDD,LocationCoordLongDD,LocComment,ItemType,IUCNRedList,NationalRedList,RegionalRedList,Locality,LocalityFull,TaxonName,TaxonNameFull,ClimateRating_current,ClimateRating_emissions-limited_2050,ClimateRating_business-as-usual_2090,ClimateRating_bau-plus-1-degree_2090,Family
2016-0331,2016-0331.86,Arctostaphylos uva-ursi,Arctostaphylos,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub,W,49.249515,-123.234415,Original locality is batch imported on 2019 Aug 16;,Planting,,,Yellow-listed British Columbia,"Vancouver Island, Franklin River Forest Service Road","CAN: British Columbia, Alberni-Clayoquot Regional District, Vancouver Island, Franklin River Forest Service Road, 123 m, 49.14399 | -124.7856",Arctostaphylos uva-ursi,Arctostaphylos uva-ursi (L.) Spreng.,9,9,6,3,Ericaceae
2024-0192,2024-0192.88,Arisaema ciliatum,Arisaema,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,Z,49.249515,-123.234415,,Planting,,,,Liuba,"CHN: Sichuan Province, Liuba, 3600 m",Arisaema ciliatum,Arisaema ciliatum H.Li,11,11,8,5,Araceae
2023-0336,2023-0336.88,Asclepias tuberosa,Asclepias,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,G,49.249515,-123.234415,,Planting,,,,,,Asclepias tuberosa,Asclepias tuberosa L.,11,11,11,8,Apocynaceae
2023-0166,2023-0166.88,Asparagus acutifolius,Asparagus,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,G,49.249515,-123.234415,,Planting,Least concern,,,,,Asparagus acutifolius,Asparagus acutifolius L.,9,9,11,11,Asparagaceae
2013-0363,2013-0363.88,Aucuba chinensis,Aucuba,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub or Tree,W,49.249515,-123.234415,Original locality is batch imported on 2019 Aug 16;,Planting,,,,,CHN: 3200 m,Aucuba chinensis var. chinensis,Aucuba chinensis Benth. var. chinensis,6,6,9,9,Garryaceae
2022-0097,2022-0097.88,Aureolaria flava,Aureolaria,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,W,49.249515,-123.234415,,Planting,,,,"Holyoke Community College, Parking Lot K","USA: Massachusetts, Hampden County, Holyoke Community College, Parking Lot K, 136 m",Aureolaria flava,Aureolaria flava (L.) Farw.,11,11,11,11,Orobanchaceae
2023-0301,2023-0301.88,Baptisia australis,Baptisia,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,U,49.249515,-123.234415,,Planting,,,,,,Baptisia australis,Baptisia australis R.Br.,11,11,11,8,Fabaceae
2023-0158,2023-0158.88,Begonia formosana,Begonia,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,Z,49.249515,-123.234415,,Planting,,,,,,Begonia formosana,Begonia formosana (Hayata) Masam.,6,9,9,9,Begoniaceae
2024-0136,2024-0136.88,Betula chichibuensis,Betula,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,Z,49.249515,-123.234415,,Planting,Critically Endangered,,,"Honshu, Gunma, Tano-Gun, Mt. Kano-san","JPN: Gunma Prefecture, Tano Distric, Honshu, Gunma, Tano-Gun, Mt. Kano-san",Betula chichibuensis,Betula chichibuensis H.Hara,,,,,Betulaceae
2024-0149,2024-0149.88,Betula humilis,Betula,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,,,"EST: Võru County, Lüübnitsa, 58.05977 | 27.57804",Betula humilis,Betula humilis Schrank,,,,,Betulaceae
2023-0368,2023-0368.88,Calamagrostis arundinacea,Calamagrostis,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,G,49.249515,-123.234415,,Planting,,,,,,Calamagrostis arundinacea,Calamagrostis arundinacea (L.) Roth,9,9,9,6,Poaceae
2022-0487,2022-0487.88,Calocedrus decurrens,Calocedrus,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,,"Rogue-River Siskiyou National Forest, Waldo/Grayback/Indian Creek Road, north of road","USA: Oregon, Josephine County, Rogue-River Siskiyou National Forest, Waldo/Grayback/Indian Creek Road, north of road, 793 m, 42.06162518 | -123.5768246",Calocedrus decurrens,Calocedrus decurrens (Torr.) Florin,11,11,9,6,Cupressaceae
2022-0516,2022-0516.87,Calocedrus decurrens,Calocedrus,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,,"BLM Road 32-2E-34, at Y-junction with Ulrich Road near Prospect, OR","USA: Oregon, Jackson County, BLM Road 32-2E-34, at Y-junction with Ulrich Road near Prospect, OR, 920 m, 42.73861 | -122.57594",Calocedrus decurrens,Calocedrus decurrens (Torr.) Florin,11,11,9,6,Cupressaceae
2023-0389,2023-0389.88,Calycanthus occidentalis,Calycanthus,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub,W,49.249515,-123.234415,,Planting,,,,"Shasta-Trinity National Forest, Waters Gulch trail","USA: California, Shasta County, Shasta-Trinity National Forest, Waters Gulch trail, 330 m, 40.78436 | -122.34338",Calycanthus occidentalis,Calycanthus occidentalis Hook. & Arn.,9,9,11,11,Calycanthaceae
2022-0476,2022-0476.88,Camassia sp.,Camassia,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,G,49.249515,-123.234415,,Planting,,,,,,Camassia sp.,Camassia sp.,,,,,Asparagaceae
2021-0636,2021-0636.88,Camellia,Camellia,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub,G,49.249515,-123.234415,,Planting,,,,,,Camellia 'Karanishiki',Camellia 'Karanishiki',,,,,Theaceae
2021-0635,2021-0635.88,Camellia japonica,Camellia,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub,G,49.249515,-123.234415,,Planting,,,,,,Camellia japonica 'Joren-no-haru',Camellia japonica L. 'Joren-no-haru',9,11,11,11,Theaceae
2021-0639,2021-0639.88,Camellia japonica,Camellia,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub,G,49.249515,-123.234415,,Planting,,,,,,Camellia japonica 'Tenshi',Camellia japonica L. 'Tenshi',9,11,11,11,Theaceae
2021-0642,2021-0642.88,Camellia japonica,Camellia,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub,G,49.249515,-123.234415,,Planting,,,,,,Camellia japonica 'Hakumyorenji,Camellia japonica L. 'Hakumyorenji,9,11,11,11,Theaceae
2021-0640,2021-0640.88,Camellia sp.,Camellia,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub,G,49.249515,-123.234415,,Planting,,,,,,Camellia sp.,Camellia sp.,,,,,Theaceae
2021-0641,2021-0641.88,Camellia sp.,Camellia,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub,G,49.249515,-123.234415,,Planting,,,,,,Camellia sp.,Camellia sp.,,,,,Theaceae
2023-0034,2023-0034.88,Capparis spinosa,Capparis,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub,U,49.249515,-123.234415,,Planting,,,,,,Capparis spinosa,Capparis spinosa L.,9,9,11,11,Capparaceae
2022-0326,2022-0326.88,Carpinus orientalis,Carpinus,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,,Adjaris-Tsqali,"GEO: Adjaris-Tsqali, 41.54493169 | 41.71423411",Carpinus orientalis,Carpinus orientalis Mill.,11,11,8,5,Betulaceae
2024-0209,2024-0209.88,Carya aquatica,Carya,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Least concern,,,Departee Creek Wildlife Management Area,"USA: Arkansas, White County, Departee Creek Wildlife Management Area, 35.38726 | -91.46727",Carya aquatica,Carya aquatica (F.Michx.) Elliott,,,,,Juglandaceae
2023-0474,2023-0474.88,Carya cordiformis,Carya,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,,,,Hawk Cliff Woods,"CAN: Ontario, Elgin County, Hawk Cliff Woods, 213 m, 42.6676 | -81.17337",Carya cordiformis,Carya cordiformis (Wangenh.) K.Koch,11,11,8,5,Juglandaceae
