AccNoFull,ItemAccNoFull,Family,Genus,GenusSpecies,TaxonName,ItemLocationCode,LocationName,LocationCoordLatDD,LocationCoordLongDD,ManagedBy,ItemType,ProvenanceCode,IUCNRedList,NationalRedList,RegionalRedList,ClimateRating_current,ClimateRating_emissions-limited_2050,ClimateRating_business-as-usual_2090,ClimateRating_bau-plus-1-degree_2090,LocalityFull,LifeForm,LocComment,TaxonNameFull,LocationCoordX,LocationCoordY,Locality
2023-0336,2023-0336.88,Apocynaceae,Asclepias,Asclepias tuberosa,Asclepias tuberosa,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,11.0,11.0,11.0,8.0,,Herbaceous Perennial,,Asclepias tuberosa L.,49.249515,-123.234415,
2023-0166,2023-0166.88,Asparagaceae,Asparagus,Asparagus acutifolius,Asparagus acutifolius,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,Least concern,,,9.0,9.0,11.0,11.0,,Herbaceous Perennial,,Asparagus acutifolius L.,49.249515,-123.234415,
2013-0363,2013-0363.88,Garryaceae,Aucuba,Aucuba chinensis,Aucuba chinensis var. chinensis,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,6.0,6.0,9.0,9.0,CHN: 3200 m,Shrub or Tree,Original locality is batch imported on 2019 Aug 16;,Aucuba chinensis Benth. var. chinensis,49.249515,-123.234415,
2022-0097,2022-0097.88,Orobanchaceae,Aureolaria,Aureolaria flava,Aureolaria flava,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,11.0,11.0,11.0,11.0,"USA: Massachusetts, Hampden County, Holyoke Community College, Parking Lot K, 136 m",Herbaceous Perennial,,Aureolaria flava (L.) Farw.,49.249515,-123.234415,"Holyoke Community College, Parking Lot K"
2023-0301,2023-0301.88,Fabaceae,Baptisia,Baptisia australis,Baptisia australis,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,U,,,,11.0,11.0,11.0,8.0,,Herbaceous Perennial,,Baptisia australis R.Br.,49.249515,-123.234415,
2023-0158,2023-0158.88,Begoniaceae,Begonia,Begonia formosana,Begonia formosana,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,Z,,,,6.0,9.0,9.0,9.0,,Herbaceous Perennial,,Begonia formosana (Hayata) Masam.,49.249515,-123.234415,
2024-0136,2024-0136.88,Betulaceae,Betula,Betula chichibuensis,Betula chichibuensis,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,Z,Critically Endangered,,,,,,,"JPN: Gunma Prefecture, Tano Distric, Honshu, Gunma, Tano-Gun, Mt. Kano-san",Tree,,Betula chichibuensis H.Hara,49.249515,-123.234415,"Honshu, Gunma, Tano-Gun, Mt. Kano-san"
2024-0149,2024-0149.88,Betulaceae,Betula,Betula humilis,Betula humilis,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,,,,,,"EST: Võru County, Lüübnitsa, 58.05977 | 27.57804",Tree,,Betula humilis Schrank,49.249515,-123.234415,
2023-0368,2023-0368.88,Poaceae,Calamagrostis,Calamagrostis arundinacea,Calamagrostis arundinacea,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,9.0,9.0,9.0,6.0,,Herbaceous Perennial,,Calamagrostis arundinacea (L.) Roth,49.249515,-123.234415,
2022-0487,2022-0487.88,Cupressaceae,Calocedrus,Calocedrus decurrens,Calocedrus decurrens,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,,11.0,11.0,9.0,6.0,"USA: Oregon, Josephine County, Rogue-River Siskiyou National Forest, Waldo/Grayback/Indian Creek Road, north of road, 793 m, 42.06162518 | -123.5768246",Tree,,Calocedrus decurrens (Torr.) Florin,49.249515,-123.234415,"Rogue-River Siskiyou National Forest, Waldo/Grayback/Indian Creek Road, north of road"
2022-0516,2022-0516.87,Cupressaceae,Calocedrus,Calocedrus decurrens,Calocedrus decurrens,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Least concern,,,11.0,11.0,9.0,6.0,"USA: Oregon, Jackson County, BLM Road 32-2E-34, at Y-junction with Ulrich Road near Prospect, OR, 920 m, 42.73861 | -122.57594",Tree,,Calocedrus decurrens (Torr.) Florin,49.249515,-123.234415,"BLM Road 32-2E-34, at Y-junction with Ulrich Road near Prospect, OR"
2023-0389,2023-0389.88,Calycanthaceae,Calycanthus,Calycanthus occidentalis,Calycanthus occidentalis,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,9.0,9.0,11.0,11.0,"USA: California, Shasta County, Shasta-Trinity National Forest, Waters Gulch trail, 330 m, 40.78436 | -122.34338",Shrub,,Calycanthus occidentalis Hook. & Arn.,49.249515,-123.234415,"Shasta-Trinity National Forest, Waters Gulch trail"
2022-0476,2022-0476.88,Asparagaceae,Camassia,Camassia sp.,Camassia sp.,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,,,,,,Herbaceous Perennial,,Camassia sp.,49.249515,-123.234415,
2021-0636,2021-0636.88,Theaceae,Camellia,Camellia,Camellia 'Karanishiki',8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,,,,,,Shrub,,Camellia 'Karanishiki',49.249515,-123.234415,
2021-0635,2021-0635.88,Theaceae,Camellia,Camellia japonica,Camellia japonica 'Joren-no-haru',8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,9.0,11.0,11.0,11.0,,Shrub,,Camellia japonica L. 'Joren-no-haru',49.249515,-123.234415,
2021-0639,2021-0639.88,Theaceae,Camellia,Camellia japonica,Camellia japonica 'Tenshi',8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,9.0,11.0,11.0,11.0,,Shrub,,Camellia japonica L. 'Tenshi',49.249515,-123.234415,
